reinstant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_lag1
37,2011-01-02 00:00:00,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,70
38,2011-01-02 00:00:00,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,93
39,2011-01-02 00:00:00,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,75
40,2011-01-02 00:00:00,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,59
41,2011-01-02 00:00:00,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,74
42,2011-01-02 00:00:00,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,76
43,2011-01-02 00:00:00,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,65
44,2011-01-02 00:00:00,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,53
45,2011-01-02 00:00:00,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,30
46,2011-01-02 00:00:00,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,22
47,2011-01-02 00:00:00,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,31
48,2011-01-02 00:00:00,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,9
49,2011-01-03 00:00:00,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,8
50,2011-01-03 00:00:00,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,5
51,2011-01-03 00:00:00,1,0,1,2,0,1,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,2
52,2011-01-03 00:00:00,1,0,1,3,0,1,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,188
53,2011-01-03 00:00:00,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,188
54,2011-01-03 00:00:00,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,1
55,2011-01-03 00:00:00,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,3
56,2011-01-03 00:00:00,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,30
57,2011-01-03 00:00:00,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,64
58,2011-01-03 00:00:00,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,154
59,2011-01-03 00:00:00,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,88
60,2011-01-03 00:00:00,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,44
61,2011-01-03 00:00:00,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,51
62,2011-01-03 00:00:00,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,61
63,2011-01-03 00:00:00,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,61
64,2011-01-03 00:00:00,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,77
65,2011-01-03 00:00:00,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,72
66,2011-01-03 00:00:00,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,76
67,2011-01-03 00:00:00,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,157
68,2011-01-03 00:00:00,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,157
69,2011-01-03 00:00:00,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,110
70,2011-01-03 00:00:00,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,52
71,2011-01-03 00:00:00,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,52
72,2011-01-03 00:00:00,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,20
73,2011-01-04 00:00:00,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,12
74,2011-01-04 00:00:00,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,5
75,2011-01-04 00:00:00,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2
76,2011-01-04 00:00:00,1,0,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,1
77,2011-01-04 00:00:00,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,188
78,2011-01-04 00:00:00,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2
79,2011-01-04 00:00:00,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4
80,2011-01-04 00:00:00,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,36
81,2011-01-04 00:00:00,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,94
82,2011-01-04 00:00:00,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,179
83,2011-01-04 00:00:00,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,100
84,2011-01-04 00:00:00,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,42
85,2011-01-04 00:00:00,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,57
86,2011-01-04 00:00:00,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,78
87,2011-01-04 00:00:00,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,97
88,2011-01-04 00:00:00,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,63
89,2011-01-04 00:00:00,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,65
90,2011-01-04 00:00:00,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,83
91,2011-01-04 00:00:00,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,212
92,2011-01-04 00:00:00,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,182
93,2011-01-04 00:00:00,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,112
94,2011-01-04 00:00:00,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,54
95,2011-01-04 00:00:00,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,48
96,2011-01-04 00:00:00,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,35
97,2011-01-05 00:00:00,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,11
98,2011-01-05 00:00:00,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,6
99,2011-01-05 00:00:00,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,6
100,2011-01-05 00:00:00,1,0,1,3,0,3,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,2
101,2011-01-05 00:00:00,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,188
102,2011-01-05 00:00:00,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,2
103,2011-01-05 00:00:00,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,3
104,2011-01-05 00:00:00,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,33
105,2011-01-05 00:00:00,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,88
106,2011-01-05 00:00:00,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,195
107,2011-01-05 00:00:00,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,115
108,2011-01-05 00:00:00,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,57
109,2011-01-05 00:00:00,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,46
110,2011-01-05 00:00:00,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,79
111,2011-01-05 00:00:00,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,71
112,2011-01-05 00:00:00,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,62
113,2011-01-05 00:00:00,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,62
114,2011-01-05 00:00:00,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,89
115,2011-01-05 00:00:00,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,190
116,2011-01-05 00:00:00,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,169
117,2011-01-05 00:00:00,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,132
118,2011-01-05 00:00:00,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,89
119,2011-01-05 00:00:00,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,43
120,2011-01-05 00:00:00,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,42
121,2011-01-06 00:00:00,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,19
122,2011-01-06 00:00:00,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,11
123,2011-01-06 00:00:00,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,4
124,2011-01-06 00:00:00,1,0,1,3,0,4,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,2
125,2011-01-06 00:00:00,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,188
126,2011-01-06 00:00:00,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,1
127,2011-01-06 00:00:00,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,4
128,2011-01-06 00:00:00,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,36
129,2011-01-06 00:00:00,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,95
130,2011-01-06 00:00:00,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,219
131,2011-01-06 00:00:00,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,122
132,2011-01-06 00:00:00,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,45
133,2011-01-06 00:00:00,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,59
134,2011-01-06 00:00:00,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,84
135,2011-01-06 00:00:00,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,67
136,2011-01-06 00:00:00,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,70
137,2011-01-06 00:00:00,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,62
138,2011-01-06 00:00:00,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,86
139,2011-01-06 00:00:00,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,172
140,2011-01-06 00:00:00,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,163
141,2011-01-06 00:00:00,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,112
142,2011-01-06 00:00:00,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,69
143,2011-01-06 00:00:00,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,48
144,2011-01-06 00:00:00,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,52
145,2011-01-07 00:00:00,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,23
146,2011-01-07 00:00:00,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,17
147,2011-01-07 00:00:00,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,7
148,2011-01-07 00:00:00,1,0,1,3,0,5,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,1
149,2011-01-07 00:00:00,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,188
150,2011-01-07 00:00:00,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,1
151,2011-01-07 00:00:00,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,5
152,2011-01-07 00:00:00,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,34
153,2011-01-07 00:00:00,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,84
154,2011-01-07 00:00:00,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,210
155,2011-01-07 00:00:00,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,134
156,2011-01-07 00:00:00,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,63
157,2011-01-07 00:00:00,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,67
158,2011-01-07 00:00:00,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,59
159,2011-01-07 00:00:00,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,73
160,2011-01-07 00:00:00,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,50
161,2011-01-07 00:00:00,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,72
162,2011-01-07 00:00:00,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,87
163,2011-01-07 00:00:00,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,187
164,2011-01-07 00:00:00,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,123
165,2011-01-07 00:00:00,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,95
166,2011-01-07 00:00:00,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,51
167,2011-01-07 00:00:00,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,39
168,2011-01-07 00:00:00,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,36
169,2011-01-08 00:00:00,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,15
170,2011-01-08 00:00:00,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,25
171,2011-01-08 00:00:00,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,16
172,2011-01-08 00:00:00,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,16
173,2011-01-08 00:00:00,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,7
174,2011-01-08 00:00:00,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,1
175,2011-01-08 00:00:00,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,5
176,2011-01-08 00:00:00,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,2
177,2011-01-08 00:00:00,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,9
178,2011-01-08 00:00:00,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,15
179,2011-01-08 00:00:00,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,20
180,2011-01-08 00:00:00,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,61
181,2011-01-08 00:00:00,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,62
182,2011-01-08 00:00:00,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,98
183,2011-01-08 00:00:00,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,102
184,2011-01-08 00:00:00,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,95
185,2011-01-08 00:00:00,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,74
186,2011-01-08 00:00:00,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,76
187,2011-01-08 00:00:00,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,69
188,2011-01-08 00:00:00,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,55
189,2011-01-08 00:00:00,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,30
190,2011-01-08 00:00:00,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,28
191,2011-01-08 00:00:00,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,37
192,2011-01-08 00:00:00,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,34
193,2011-01-09 00:00:00,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,22
194,2011-01-09 00:00:00,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,25
195,2011-01-09 00:00:00,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,12
196,2011-01-09 00:00:00,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,11
197,2011-01-09 00:00:00,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,4
198,2011-01-09 00:00:00,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,1
199,2011-01-09 00:00:00,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,1
200,2011-01-09 00:00:00,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,1
201,2011-01-09 00:00:00,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,6
202,2011-01-09 00:00:00,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,10
203,2011-01-09 00:00:00,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,19
204,2011-01-09 00:00:00,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,49
205,2011-01-09 00:00:00,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,49
206,2011-01-09 00:00:00,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,83
207,2011-01-09 00:00:00,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,75
208,2011-01-09 00:00:00,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,72
209,2011-01-09 00:00:00,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,82
210,2011-01-09 00:00:00,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,92
211,2011-01-09 00:00:00,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,62
212,2011-01-09 00:00:00,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,48
213,2011-01-09 00:00:00,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,41
214,2011-01-09 00:00:00,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,38
215,2011-01-09 00:00:00,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,20
216,2011-01-09 00:00:00,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,15
217,2011-01-10 00:00:00,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,6
218,2011-01-10 00:00:00,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,5
219,2011-01-10 00:00:00,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,1
220,2011-01-10 00:00:00,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,3
221,2011-01-10 00:00:00,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,1
222,2011-01-10 00:00:00,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,3
223,2011-01-10 00:00:00,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,3
224,2011-01-10 00:00:00,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,31
225,2011-01-10 00:00:00,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,77
226,2011-01-10 00:00:00,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,188
227,2011-01-10 00:00:00,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,94
228,2011-01-10 00:00:00,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,31
229,2011-01-10 00:00:00,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,30
230,2011-01-10 00:00:00,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,52
231,2011-01-10 00:00:00,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,54
232,2011-01-10 00:00:00,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,47
233,2011-01-10 00:00:00,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,45
234,2011-01-10 00:00:00,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,74
235,2011-01-10 00:00:00,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,178
236,2011-01-10 00:00:00,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,155
237,2011-01-10 00:00:00,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,95
238,2011-01-10 00:00:00,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,74
239,2011-01-10 00:00:00,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,38
240,2011-01-10 00:00:00,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,24
241,2011-01-11 00:00:00,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,18
242,2011-01-11 00:00:00,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,12
243,2011-01-11 00:00:00,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,3
244,2011-01-11 00:00:00,1,0,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.19,35,153,188,3
