reinstant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
69,2011-01-03 00:00:00,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52
70,2011-01-03 00:00:00,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52
71,2011-01-03 00:00:00,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20
72,2011-01-03 00:00:00,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12
73,2011-01-04 00:00:00,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5
74,2011-01-04 00:00:00,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2
75,2011-01-04 00:00:00,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1
76,2011-01-04 00:00:00,1,0,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.19,35,153,188
77,2011-01-04 00:00:00,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2
78,2011-01-04 00:00:00,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4
79,2011-01-04 00:00:00,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36
80,2011-01-04 00:00:00,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
81,2011-01-04 00:00:00,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179
82,2011-01-04 00:00:00,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
83,2011-01-04 00:00:00,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42
84,2011-01-04 00:00:00,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
85,2011-01-04 00:00:00,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78
86,2011-01-04 00:00:00,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97
87,2011-01-04 00:00:00,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
88,2011-01-04 00:00:00,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
89,2011-01-04 00:00:00,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
90,2011-01-04 00:00:00,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
91,2011-01-04 00:00:00,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182
92,2011-01-04 00:00:00,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
93,2011-01-04 00:00:00,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
94,2011-01-04 00:00:00,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48
95,2011-01-04 00:00:00,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
96,2011-01-04 00:00:00,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
97,2011-01-05 00:00:00,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6
98,2011-01-05 00:00:00,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6
99,2011-01-05 00:00:00,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2
100,2011-01-05 00:00:00,1,0,1,3,0,3,1,2,0.4969,0.4757,0.6272,0.19,35,153,188
101,2011-01-05 00:00:00,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
102,2011-01-05 00:00:00,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
103,2011-01-05 00:00:00,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33
104,2011-01-05 00:00:00,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88
105,2011-01-05 00:00:00,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195
106,2011-01-05 00:00:00,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115
107,2011-01-05 00:00:00,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57
108,2011-01-05 00:00:00,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
109,2011-01-05 00:00:00,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
110,2011-01-05 00:00:00,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
111,2011-01-05 00:00:00,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62
112,2011-01-05 00:00:00,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62
113,2011-01-05 00:00:00,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
114,2011-01-05 00:00:00,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190
115,2011-01-05 00:00:00,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
116,2011-01-05 00:00:00,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
117,2011-01-05 00:00:00,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
118,2011-01-05 00:00:00,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43
119,2011-01-05 00:00:00,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
120,2011-01-05 00:00:00,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19
121,2011-01-06 00:00:00,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11
122,2011-01-06 00:00:00,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4
123,2011-01-06 00:00:00,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2
124,2011-01-06 00:00:00,1,0,1,3,0,4,1,2,0.4969,0.4757,0.6272,0.19,35,153,188
125,2011-01-06 00:00:00,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1
126,2011-01-06 00:00:00,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4
127,2011-01-06 00:00:00,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36
128,2011-01-06 00:00:00,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95
129,2011-01-06 00:00:00,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219
130,2011-01-06 00:00:00,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122
131,2011-01-06 00:00:00,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45
132,2011-01-06 00:00:00,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59
133,2011-01-06 00:00:00,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84
134,2011-01-06 00:00:00,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67
135,2011-01-06 00:00:00,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
136,2011-01-06 00:00:00,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62
137,2011-01-06 00:00:00,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
138,2011-01-06 00:00:00,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
139,2011-01-06 00:00:00,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
140,2011-01-06 00:00:00,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
141,2011-01-06 00:00:00,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
142,2011-01-06 00:00:00,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
143,2011-01-06 00:00:00,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
144,2011-01-06 00:00:00,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23
145,2011-01-07 00:00:00,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17
146,2011-01-07 00:00:00,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7
147,2011-01-07 00:00:00,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1
148,2011-01-07 00:00:00,1,0,1,3,0,5,1,2,0.4969,0.4757,0.6272,0.19,35,153,188
149,2011-01-07 00:00:00,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
150,2011-01-07 00:00:00,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5
151,2011-01-07 00:00:00,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34
152,2011-01-07 00:00:00,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84
153,2011-01-07 00:00:00,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
154,2011-01-07 00:00:00,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
155,2011-01-07 00:00:00,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63
156,2011-01-07 00:00:00,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67
157,2011-01-07 00:00:00,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
158,2011-01-07 00:00:00,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
159,2011-01-07 00:00:00,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
160,2011-01-07 00:00:00,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
161,2011-01-07 00:00:00,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
162,2011-01-07 00:00:00,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187
163,2011-01-07 00:00:00,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
164,2011-01-07 00:00:00,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95
165,2011-01-07 00:00:00,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
166,2011-01-07 00:00:00,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
167,2011-01-07 00:00:00,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36
168,2011-01-07 00:00:00,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15
169,2011-01-08 00:00:00,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25
170,2011-01-08 00:00:00,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16
171,2011-01-08 00:00:00,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16
172,2011-01-08 00:00:00,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7
173,2011-01-08 00:00:00,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1
174,2011-01-08 00:00:00,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
175,2011-01-08 00:00:00,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
176,2011-01-08 00:00:00,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
177,2011-01-08 00:00:00,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
178,2011-01-08 00:00:00,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
179,2011-01-08 00:00:00,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61
180,2011-01-08 00:00:00,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
181,2011-01-08 00:00:00,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
182,2011-01-08 00:00:00,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
183,2011-01-08 00:00:00,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
184,2011-01-08 00:00:00,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
185,2011-01-08 00:00:00,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76
186,2011-01-08 00:00:00,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
187,2011-01-08 00:00:00,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
188,2011-01-08 00:00:00,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
189,2011-01-08 00:00:00,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
190,2011-01-08 00:00:00,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
191,2011-01-08 00:00:00,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
192,2011-01-08 00:00:00,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
193,2011-01-09 00:00:00,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
194,2011-01-09 00:00:00,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
195,2011-01-09 00:00:00,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
196,2011-01-09 00:00:00,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
197,2011-01-09 00:00:00,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
198,2011-01-09 00:00:00,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
199,2011-01-09 00:00:00,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
200,2011-01-09 00:00:00,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
201,2011-01-09 00:00:00,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
202,2011-01-09 00:00:00,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
203,2011-01-09 00:00:00,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
204,2011-01-09 00:00:00,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
205,2011-01-09 00:00:00,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
206,2011-01-09 00:00:00,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
207,2011-01-09 00:00:00,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
208,2011-01-09 00:00:00,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82
209,2011-01-09 00:00:00,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
210,2011-01-09 00:00:00,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
211,2011-01-09 00:00:00,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48
212,2011-01-09 00:00:00,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
213,2011-01-09 00:00:00,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
214,2011-01-09 00:00:00,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
215,2011-01-09 00:00:00,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
216,2011-01-09 00:00:00,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6
217,2011-01-10 00:00:00,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
218,2011-01-10 00:00:00,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
219,2011-01-10 00:00:00,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
220,2011-01-10 00:00:00,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
221,2011-01-10 00:00:00,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3
222,2011-01-10 00:00:00,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
223,2011-01-10 00:00:00,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
224,2011-01-10 00:00:00,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
225,2011-01-10 00:00:00,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
226,2011-01-10 00:00:00,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
227,2011-01-10 00:00:00,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
228,2011-01-10 00:00:00,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
229,2011-01-10 00:00:00,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
230,2011-01-10 00:00:00,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
231,2011-01-10 00:00:00,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
232,2011-01-10 00:00:00,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
233,2011-01-10 00:00:00,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
234,2011-01-10 00:00:00,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
235,2011-01-10 00:00:00,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
236,2011-01-10 00:00:00,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
237,2011-01-10 00:00:00,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
238,2011-01-10 00:00:00,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
239,2011-01-10 00:00:00,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
240,2011-01-10 00:00:00,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
241,2011-01-11 00:00:00,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
242,2011-01-11 00:00:00,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
243,2011-01-11 00:00:00,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
244,2011-01-11 00:00:00,1,0,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.19,35,153,188
245,2011-01-11 00:00:00,1,0,1,4,0,2,1,2,0.4969,0.4757,0.6272,0.19,35,153,188
246,2011-01-11 00:00:00,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
247,2011-01-11 00:00:00,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
248,2011-01-11 00:00:00,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99
249,2011-01-11 00:00:00,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
250,2011-01-11 00:00:00,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130
251,2011-01-11 00:00:00,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
252,2011-01-11 00:00:00,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
253,2011-01-11 00:00:00,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
