instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,2011-01-18,1,0,1,8,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,9,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,10,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-18,1,0,1,11,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-19,1,0,1,3,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-22,1,0,1,5,0,6,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-23,1,0,1,4,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-24,1,0,1,2,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-25,1,0,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-26,1,0,1,3,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-26,1,0,1,4,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-26,1,0,1,18,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-26,1,0,1,19,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-26,1,0,1,20,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-26,1,0,1,21,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-26,1,0,1,22,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-26,1,0,1,23,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,0,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,1,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,2,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,3,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,4,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,5,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,6,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,7,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,8,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,9,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,10,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,11,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,12,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,13,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,14,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-27,1,0,1,15,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-28,1,0,1,4,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-29,1,0,1,5,0,6,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-01-30,1,0,1,6,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-01,1,0,2,4,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-03,1,0,2,4,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-04,1,0,2,4,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-09,1,0,2,4,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-10,1,0,2,3,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-11,1,0,2,3,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-11,1,0,2,4,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-13,1,0,2,5,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-15,1,0,2,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-16,1,0,2,2,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-20,1,0,2,5,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-22,1,0,2,0,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-22,1,0,2,1,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-22,1,0,2,2,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-22,1,0,2,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-22,1,0,2,4,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-22,1,0,2,5,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-23,1,0,2,4,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-24,1,0,2,4,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-25,1,0,2,4,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-27,1,0,2,5,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-28,1,0,2,2,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-02-28,1,0,2,4,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-06,1,0,3,5,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-07,1,0,3,2,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-10,1,0,3,3,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-10,1,0,3,4,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-11,1,0,3,4,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-13,1,0,3,2,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-14,1,0,3,4,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-15,1,0,3,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-16,1,0,3,2,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-18,1,0,3,4,0,5,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-21,1,0,3,4,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-23,1,0,3,4,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-27,1,0,3,5,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-03-28,1,0,3,4,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-04-11,2,0,4,3,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-27,3,0,8,18,0,6,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-27,3,0,8,19,0,6,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-27,3,0,8,20,0,6,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-27,3,0,8,21,0,6,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-27,3,0,8,22,0,6,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-27,3,0,8,23,0,6,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-28,3,0,8,0,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-28,3,0,8,1,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-28,3,0,8,2,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-28,3,0,8,3,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-28,3,0,8,4,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-28,3,0,8,5,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-08-28,3,0,8,6,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-09-06,3,0,9,1,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-09-08,3,0,9,2,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-09-12,3,0,9,3,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-10-19,4,0,10,3,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-11-28,4,0,11,2,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-12-25,4,0,12,4,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-12-26,4,0,12,3,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2011-12-28,4,0,12,4,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-01-02,1,1,1,3,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-01-10,1,1,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-01-17,1,1,1,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-02-06,1,1,2,3,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-02-20,1,1,2,4,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-02-21,1,1,2,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-02-29,1,1,2,4,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-03-11,1,1,3,2,0,0,0,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-04-02,2,1,4,3,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-04-11,2,1,4,4,0,3,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,1,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,2,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,3,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,4,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,5,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,6,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,7,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,8,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,9,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,10,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,11,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,12,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,13,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,14,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,15,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,16,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,17,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,18,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,19,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,20,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,21,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,22,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-29,4,1,10,23,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,0,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,1,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,2,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,4,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,5,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,6,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,7,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,8,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,9,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,10,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,11,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-10-30,4,1,10,12,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-11-08,4,1,11,3,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-11-29,4,1,11,3,0,4,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-12-24,4,1,12,4,0,1,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
0,2012-12-25,4,1,12,3,0,2,1,2,0.4969,0.4757,0.6272,0.1900,35,153,188
